epoch step loss
1 50 0.37448352575302124
1 100 0.247170552611351
1 150 0.09244094043970108
2 50 0.12193645536899567
2 100 0.08217568695545197
2 150 0.1120467334985733
3 50 0.012699098326265812
3 100 0.009062633849680424
3 150 0.016861392185091972
4 50 0.017827415838837624
4 100 0.002942015416920185
4 150 0.0028136016335338354
5 50 0.00980284158140421
5 100 0.004752190783619881
5 150 0.0008052153280004859
6 50 0.0041524749249219894
6 100 0.021486058831214905
6 150 0.024463819339871407
7 50 0.002674349583685398
7 100 0.011835099197924137
7 150 0.017728373408317566
8 50 0.01667841337621212
8 100 0.010751883499324322
8 150 0.0010580114321783185
9 50 0.013827940449118614
9 100 0.0561026856303215
9 150 0.12735505402088165
10 50 0.030561961233615875
10 100 0.01681077852845192
10 150 0.015058569610118866
11 50 0.00843736156821251
11 100 1.712454468361102e-05
11 150 0.003342129522934556
12 50 0.0029075287748128176
12 100 0.001827938947826624
12 150 0.010240004397928715
13 50 1.3030741683905944e-05
13 100 0.015291920863091946
13 150 0.02811574749648571
14 50 0.0053763603791594505
14 100 0.0002736286260187626
14 150 0.003871002234518528
15 50 0.001376581727527082
15 100 0.0033568465150892735
15 150 0.04878918081521988
16 50 0.04529634863138199
16 100 0.0001350164966424927
16 150 0.0016090921126306057
17 50 1.5427754988195375e-05
17 100 0.02545812726020813
17 150 0.003232004353776574
18 50 0.005911699496209621
18 100 0.0034347905311733484
18 150 0.10064487159252167
19 50 7.04946942278184e-05
19 100 0.014161690138280392
19 150 0.10626718401908875
20 50 0.0025112389121204615
20 100 0.00027784862322732806
20 150 0.038679443299770355
21 50 0.00018579885363578796
21 100 0.0021344644483178854
21 150 4.14103578805225e-06
22 50 0.013281111605465412
22 100 0.005147353745996952
22 150 0.008964894339442253
23 50 1.3038508939189342e-08
23 100 0.002713422989472747
23 150 0.0003140954358968884
24 50 0.00033407536102458835
24 100 0.0025815351400524378
24 150 0.012355905026197433
25 50 0.00018330359307583421
25 100 1.96256169147091e-05
25 150 0.0015460734721273184
26 50 0.004284168593585491
26 100 0.0031947423703968525
26 150 0.014308881014585495
27 50 0.003519014921039343
27 100 0.40133073925971985
27 150 0.001645367592573166
28 50 3.641386285835324e-07
28 100 0.005228690803050995
28 150 0.0017424642574042082
29 50 0.01622561179101467
29 100 0.0628342404961586
29 150 1.3791672017759993e-06
30 50 0.012799754738807678
30 100 0.014595910906791687
30 150 9.40631821322313e-08
31 50 1.4901146982992941e-08
31 100 0.06760775297880173
31 150 0.001888139871880412
32 50 0.0014702925691381097
32 100 0.0017180531285703182
32 150 0.034321658313274384
33 50 0.0016775240655988455
33 100 0.0016299162525683641
33 150 0.043673984706401825
34 50 0.0011784490197896957
34 100 0.0077493148855865
34 150 0.006187153048813343
35 50 0.014271031133830547
35 100 0.0015446366742253304
35 150 0.0012579387985169888
36 50 0.000233034385018982
36 100 0.0
36 150 1.48078896700099e-07
37 50 0.015934551134705544
37 100 0.01016700267791748
37 150 0.0016191982431337237
38 50 0.002899720799177885
38 100 7.608536520820053e-07
38 150 0.0015748565783724189
39 50 0.8394655585289001
39 100 0.01396756898611784
39 150 0.002211222192272544
40 50 0.003654993837699294
40 100 0.003199591301381588
40 150 0.0010679628467187285
41 50 0.0016012191772460938
41 100 0.0
