epoch step loss
1 50 0.006774482782930136
1 100 0.002247548196464777
1 150 1.3969826184734302e-08
2 50 0.0020961107220500708
2 100 0.003166043199598789
2 150 0.0021112910471856594
3 50 0.0020897802896797657
3 100 1.9557529640223947e-07
3 150 0.0
4 50 3.911545576329445e-08
4 100 0.0
4 150 8.437327778665349e-07
5 50 0.00024932619999162853
5 100 0.0013398429146036506
5 150 0.0041155689395964146
6 50 0.012470747344195843
6 100 0.00042507663602009416
6 150 0.0
7 50 0.0026854132302105427
7 100 0.0
7 150 2.7939672797572257e-09
8 50 0.003878994146361947
8 100 0.0035088793374598026
8 150 0.0014653413090854883
9 50 0.0
9 100 0.00290855229832232
9 150 0.0030992261599749327
10 50 0.1827837973833084
10 100 0.0017772151622921228
10 150 2.7939672797572257e-09
11 50 0.005709338001906872
11 100 0.004531525541096926
11 150 9.305709681939334e-05
12 50 0.5419191122055054
12 100 9.313225191043273e-10
12 150 0.941545307636261
13 50 0.0
13 100 0.002401716075837612
13 150 0.012873468920588493
14 50 0.0022358743008226156
14 100 0.0
14 150 0.0022659495007246733
15 50 0.0024927561171352863
15 100 0.004232289269566536
15 150 0.004300301428884268
16 50 0.0
16 100 0.0
16 150 1.211455946759088e-05
17 50 0.003367858473211527
17 100 0.0035258550196886063
17 150 0.0018549880478531122
18 50 0.0
18 100 0.0
18 150 4.656611540809763e-09
19 50 0.002766178920865059
19 100 0.0026395139284431934
19 150 0.00202558352611959
20 50 0.00195595296099782
20 100 0.0
20 150 2.7939627500472852e-08
21 50 0.0
21 100 0.002292386721819639
21 150 0.0020331665873527527
22 50 0.001940538757480681
22 100 0.0
22 150 0.0
23 50 0.0019977085758000612
23 100 0.0016185702988877892
23 150 0.0
24 50 0.0012694791657850146
24 100 0.014340207912027836
24 150 0.0
25 50 7.450577044210149e-09
25 100 0.0013749694917351007
25 150 0.00027852875064127147
26 50 0.01678265631198883
26 100 0.0
26 150 0.0003459953295532614
27 50 0.0014430898008868098
27 100 0.0012903151800855994
27 150 0.00013949608546681702
28 50 0.006098677404224873
28 100 0.003950252663344145
28 150 0.0015985042555257678
29 50 0.003083663061261177
29 100 1.1352025239830255e-06
29 150 0.0
30 50 0.014676181599497795
30 100 0.0
30 150 0.008770853281021118
31 50 0.015235071070492268
31 100 0.0
31 150 0.01478327251970768
32 50 0.0
32 100 0.0014022317482158542
32 150 0.0
33 50 0.0
33 100 0.007399441674351692
33 150 0.00018493193783797324
34 50 1.2107183700038604e-08
34 100 9.313225191043273e-10
34 150 0.00206929468549788
35 50 0.0
35 100 0.0
35 150 0.0
36 50 7.742668822174892e-05
36 100 0.0
36 150 1.0050822496414185
37 50 0.0020635612308979034
37 100 0.0020505692809820175
37 150 0.509474515914917
38 50 0.0
38 100 5.2153890095496536e-08
38 150 9.313225191043273e-10
39 50 7.6005503615306225e-06
39 100 0.001969087403267622
39 150 0.005198169033974409
40 50 0.0
40 100 2.3892126083374023
40 150 0.16314005851745605
41 50 0.0
41 100 0.002252725185826421
41 150 0.016282588243484497
42 50 0.0
42 100 1.9678545868373476e-05
42 150 0.0012271258747205138
43 50 0.0018638529581949115
43 100 0.0031707610469311476
43 150 0.0032933561597019434
44 50 0.0
44 100 0.0
44 150 0.0
45 50 1.4901146982992941e-08
45 100 0.015970876440405846
45 150 2.083289291476831e-05
46 50 0.0
46 100 9.313225191043273e-10
46 150 0.004007916897535324
47 50 0.0013908586697652936
47 100 1.7695111154125698e-08
47 150 6.991082045715302e-05
48 50 0.0017138386610895395
48 100 0.002895408309996128
48 150 0.0015750910388305783
49 50 0.018349047750234604
49 100 0.0011525517329573631
49 150 0.0
50 50 0.015846023336052895
50 100 0.001327995676547289
50 150 0.0
51 50 0.013113017193973064
51 100 0.0016731134383007884
51 150 0.013776207342743874
52 50 0.0
52 100 0.0
52 150 0.0018459622515365481
53 50 0.0020861986558884382
53 100 0.01358845829963684
53 150 0.0
54 50 1.8626449271863521e-09
54 100 0.0014646563213318586
54 150 0.0
55 50 0.01708475686609745
55 100 0.0
55 150 0.0037787409964948893
56 50 0.00411719037219882
56 100 0.0041024391539394855
56 150 0.0021332823671400547
57 50 0.0
57 100 0.006050439085811377
57 150 0.003009252483025193
58 50 0.0
58 100 0.0020378236658871174
58 150 0.00177884625736624
59 50 0.0
59 100 0.0019510023994371295
59 150 0.0017323206411674619
60 50 0.0034187010023742914
60 100 0.021220510825514793
60 150 0.0027110567316412926
61 50 0.014943658374249935
61 100 0.005043809302151203
61 150 3.014084904862102e-05
62 50 0.004791212268173695
62 100 0.0017068623565137386
62 150 0.0
63 50 0.0
63 100 0.0015548797091469169
63 150 0.0016169038135558367
64 50 0.0
64 100 0.0012911970261484385
64 150 0.0013718882109969854
65 50 0.0028538762126117945
65 100 0.01555881928652525
65 150 0.0028551858849823475
66 50 0.0014299206668511033
66 100 0.0013280152343213558
66 150 0.0
67 50 0.001402931404300034
67 100 0.002771099330857396
67 150 0.0
68 50 0.0
68 100 0.0035281444434076548
68 150 0.0
69 50 0.0015854109078645706
